,category_1,category_10,category_15,category_17,category_19,category_2,category_20,category_22,category_23,category_24,category_25,category_26,category_27,category_28,duration_Extended,duration_Long,duration_Medium,duration_Short,duration_Very Long,duration_Very Short,views_log,likes_log,comments_log,duration_seconds_log,views_norm,likes_norm,comments_norm,duration_seconds_norm,tag_count_norm,title_length_norm,title_word_count_norm,like_view_ratio_norm,comment_view_ratio_norm,engagement_score_norm,title_caps_count_norm,channel_trending_count_norm,title_has_number,title_has_question,title_has_exclamation,title_has_special,title_has_brackets,title_caps_count,clickbait_score,title_positive_words,title_negative_words,title_sentiment_score,title_is_emotional,title_uniqueness,title_char_count,title_word_count,title_emotion_ratio,title_caps_percentage,title_brackets_count,title_word_diversity,like_view_ratio,comment_view_ratio,engagement_score,channel_video_count,channel_avg_engagement,relative_engagement,publish_hour,publish_day,publish_month,publish_year,publish_dayofweek,publish_weekend,publish_quarter,publish_morning,publish_afternoon,publish_evening,publish_night,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,dayofweek_sin,dayofweek_cos,duration_seconds,duration_minutes,duration_log,duration_very_short,duration_short,duration_medium,duration_long,duration_very_long
0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,15.71853781053711,12.090639347077802,8.908018322784887,6.663132695990803,1.3494000192318798,1.3533688375667914,0.6983869757076565,-0.1716858180568731,-0.07775360077775939,-0.3255696929274208,-0.45862007589529025,-0.494394015226728,-0.5143697910066124,-0.635294587942386,-0.6395709341069616,1.847097030981444,1,0,0,1,0,0,0,0,0,0,0,0.4006666151410591,44,7,0,0.0,0,1.0,2.657182257994287,0.11019712610666843,3.2081678885276292,16,1.97625,1.6233613604187878,7.0,16.0,3.0,2025.0,6.0,1.0,1.0,1,0,0,0,0.9659258262890683,-0.25881904510252063,-0.10116832198743204,-0.9948693233918952,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,782,13.033333333333333,6.663132695990803,0,0,1,0,0
1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,15.929023882662948,12.705525847751185,9.399968503952575,7.034387929915503,1.7826216020429835,3.1002655624559496,1.5757871170671776,0.041391474804820694,-0.9803658817799418,-0.8805180331446153,-0.45862007589529025,-0.1461678852069255,-0.4149130336386122,-0.2342831947279642,-0.6395709341069616,-0.35182800590122726,0,1,0,0,0,0,0,0,0,0,0,0.5858633426020676,32,7,0,0.0,0,1.0,3.981542223462567,0.14602640725746532,4.711674259749894,8,3.22375,1.4615507591314134,15.0,15.0,3.0,2025.0,5.0,1.0,1.0,0,1,0,0,-0.7071067811865471,-0.7071067811865479,0.10116832198743272,-0.994869323391895,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1134,18.9,7.034387929915503,0,0,1,0,0
2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,14.828781347347855,11.583905693687276,8.904630097005011,7.206377291472252,0.2597822743010537,0.5358237554414548,0.6937169728262454,0.17032745031487972,-0.4001151297071103,0.18313295227167425,0.013697201030858266,-0.16830836708238228,-0.0776490575359518,-0.11860683130072719,-0.6395709341069616,-0.35182800590122726,0,0,0,0,0,0,0,0,0,0,0,0.5293537631319987,55,9,0,0.0,0,1.0,3.8973061375628717,0.2673714284677058,5.234163279901401,5,3.526,1.4844478956044815,15.0,15.0,3.0,2025.0,5.0,1.0,1.0,0,1,0,0,-0.7071067811865471,-0.7071067811865479,0.10116832198743272,-0.994869323391895,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1347,22.45,7.206377291472252,0,0,0,1,0
3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,13.372957101595977,9.263407092912875,7.6638772587034705,6.717804695023691,-0.32264277764119514,-0.5814455407984657,-0.28436843065649947,-0.1450511564491614,0.824858680224423,1.0618011576155657,0.9583317548831553,-0.7614997336244591,0.10015073217220502,-0.6545739818469255,0.2612331984380548,-0.35182800590122726,1,0,0,1,0,2,0,0,0,0,0,0.5064168355063955,74,13,0,7.6923076923076925,0,0.9333333333333333,1.6413628417495207,0.3314170608957445,3.298448146228244,4,2.145,1.5377380635096707,8.0,16.0,3.0,2025.0,6.0,1.0,1.0,1,0,0,0,0.8660254037844387,-0.49999999999999983,-0.10116832198743204,-0.9948693233918952,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,826,13.766666666666667,6.717804695023691,0,0,1,0,0
4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,12.346125849832285,7.783224016336037,5.231108616854587,5.351858133476067,-0.43633908812295386,-0.6754447600800985,-0.6473210545997716,-0.5179364189571255,-0.722476658636461,-1.2504835932894118,-1.167095991284513,-0.9189285519004206,-0.5960465694037971,-1.1057117992131502,-0.6395709341069616,-0.35182800590122726,0,0,0,1,1,0,0,1,0,1,1,0.9463946303571864,24,4,1,25.0,1,1.0,1.0427442559961055,0.08084636582545879,1.4469760851233993,1,0.97,1.4917279228076281,21.0,27.0,2.0,2025.0,3.0,0.0,1.0,0,0,1,0,-0.7071067811865477,0.7071067811865474,-0.72479278722912,0.6889669190756865,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,210,3.5,5.351858133476067,0,1,0,0,0
5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,13.696188588756867,10.872143004616145,7.6953031349635665,7.351158226430694,-0.2550504317706299,-0.09508469387570927,-0.2716660228190612,0.2974474261698675,-0.07775360077775939,0.18313295227167425,0.24985583949393253,0.3678752028967608,-0.13293367964833194,0.4096485616836556,-0.6395709341069616,-0.35182800590122726,0,0,0,1,0,0,0,0,0,0,0,0.5231973151785931,55,10,0,0.0,0,1.0,5.93642291280995,0.24754343840878132,7.174140104853858,5,4.9,1.464110225480379,15.0,15.0,3.0,2025.0,5.0,1.0,1.0,0,1,0,0,-0.7071067811865471,-0.7071067811865479,0.10116832198743272,-0.994869323391895,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1557,25.95,7.351158226430694,0,0,0,1,0
6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,15.655002966029288,11.899696930631139,8.934323331054905,6.39024066706535,1.235567215933283,0.9959063675816111,0.7351865984131761,-0.2848831298896479,-0.2711705181353699,-0.04809552281882349,-0.45862007589529025,-0.5779861671056792,-0.485477325179037,-0.7085562847796362,-0.6395709341069616,1.847097030981444,1,0,0,1,0,0,0,0,0,0,0,0.381962364630851,50,7,0,0.0,0,1.0,2.3393135157758786,0.1205559780479116,2.9420934060154367,16,1.97625,1.4887253161368432,6.0,15.0,3.0,2025.0,5.0,1.0,1.0,1,0,0,0,1.0,6.123233995736766e-17,0.10116832198743272,-0.994869323391895,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,595,9.916666666666666,6.39024066706535,0,0,1,0,0
7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,15.089861673612027,12.571555684060128,9.701126540404447,6.535241271013659,0.4863835126699735,2.6233796521851542,2.369314006676555,-0.22858714058243906,-0.9803658817799418,-1.2967292883075112,-1.4032546297475872,0.9261729596422448,0.44824938296020617,1.2232389844552227,-0.6395709341069616,-0.35182800590122726,0,0,0,0,0,0,0,0,0,0,0,0.5495707714591522,23,3,0,0.0,0,1.0,8.059576459877436,0.4567468939952952,10.34331092985391,6,7.010000000000001,1.475507978581157,12.0,15.0,3.0,2025.0,5.0,1.0,1.0,0,1,0,0,1.2246467991473532e-16,-1.0,0.10116832198743272,-0.994869323391895,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,688,11.466666666666667,6.535241271013659,0,0,1,0,0
8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,15.062703183724386,11.812059215936074,8.902727664035522,7.496097345175956,0.4599612607607289,0.8533437701861525,0.6911017712126551,0.4445433982306391,-0.9803658817799418,-0.46430677798171943,-0.6947787143583645,-0.17419847152430906,-0.23377949787342725,-0.18801264935706932,1.1620373309830712,-0.35182800590122726,0,0,1,0,0,4,0,0,0,0,1,0.6309297535714575,41,6,0,66.66666666666666,0,1.0,3.8748970351584533,0.21120182775343144,4.93090617392561,5,3.344,1.474553281676319,21.0,14.0,3.0,2025.0,4.0,0.0,1.0,0,0,1,0,-0.7071067811865477,0.7071067811865474,0.29936312297335804,-0.9541392564000488,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1800,30.0,7.496097345175956,0,0,0,1,0
9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,14.543710161027274,11.501105888164886,8.734399150063695,5.438079308923196,0.07138137709073121,0.4373698156389245,0.4783364399355646,-0.5064350878083409,-0.6580043528505909,0.0443958672173756,0.24985583949393253,0.06143200126187611,0.012639898175221582,0.15516056214373403,-0.6395709341069616,-0.35182800590122726,0,0,0,1,0,0,0,0,0,0,0,0.5403645215679682,52,10,0,0.0,0,1.0,4.77100167185894,0.29990146508528026,6.270508997285342,4,4.235,1.480639668780482,19.0,14.0,3.0,2025.0,4.0,0.0,1.0,0,0,1,0,-0.9659258262890684,0.2588190451025203,0.29936312297335804,-0.9541392564000488,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,229,3.816666666666667,5.438079308923196,0,1,0,0,0
10,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,13.537744492344256,8.469472455204826,5.3706380281276624,7.19668657083435,-0.29091026579928136,-0.6481278598910715,-0.6420906513725912,0.16245811847623762,1.1472202091537738,0.923064072561267,1.1944903933462296,-1.0276588280940235,-0.7418979593987697,-1.2753704655730977,0.2612331984380548,-0.35182800590122726,1,0,0,1,0,2,0,0,0,0,0,0.4466222403973481,71,14,0,14.285714285714285,0,1.0,0.6291973443277846,0.02825183207850313,0.7704565047203003,4,0.53,1.453691518340189,11.0,15.0,3.0,2025.0,5.0,1.0,1.0,1,0,0,0,0.258819045102521,-0.9659258262890682,0.10116832198743272,-0.994869323391895,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1334,22.233333333333334,7.19668657083435,0,0,0,1,0
11,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,12.919196457854486,9.258654232254733,5.730099782973574,6.587550014824796,-0.38725571970178574,-0.5820225771353694,-0.6247182406537418,-0.20618981150322693,-0.9803658817799418,-0.6030438630360181,-0.9309373528214387,-0.5169026286298051,-0.6116040510032609,-0.6969886484369126,-0.6395709341069616,-0.35182800590122726,0,0,0,1,0,0,1,0,0,0,0,0.6975964202381242,38,5,0,0.0,0,1.0,2.571617614624942,0.07523219055554194,2.9477785674026515,4,2.025,1.4556931197050131,15.0,15.0,3.0,2025.0,5.0,1.0,1.0,0,1,0,0,-0.7071067811865471,-0.7071067811865479,0.10116832198743272,-0.994869323391895,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,725,12.083333333333334,6.587550014824796,0,0,1,0,0
12,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,14.029409913053566,11.432040736229764,8.604104563405533,5.043425116919247,-0.15827123402795062,0.3612587228013102,0.336555152455923,-0.5518350791851223,0.30908023393746165,-0.8342723381265158,-0.6947787143583645,0.7650365309809635,0.402688186847491,1.0381568029716437,-0.6395709341069616,-0.35182800590122726,0,0,0,1,1,0,0,0,0,0,0,0.4850953035867286,33,6,0,0.0,1,1.0,7.446848882153126,0.44029174071475347,9.648307585726894,1,6.53,1.4775356180286208,4.0,15.0,3.0,2025.0,5.0,1.0,1.0,0,0,0,1,0.8660254037844386,0.5000000000000001,0.10116832198743272,-0.994869323391895,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,154,2.566666666666667,5.043425116919247,0,1,0,0,0
